City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
307,Etchojoa,MX,26.9167,-109.6333,60.28,64,0,8.01,clear sky
308,Oeiras Do Para,BR,-2.0031,-49.8544,73.87,96,100,2.59,overcast clouds
309,Nanortalik,GL,60.1432,-45.2371,12.31,60,71,38.88,broken clouds
310,Naruto,JP,34.1833,134.6167,42.78,28,20,25.32,few clouds
311,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.65,75,15,5.7,few clouds
312,Urucui,BR,-7.2294,-44.5561,74.88,84,99,1.54,overcast clouds
313,Charagua,BO,-19.8,-63.2167,69.06,97,100,0.74,overcast clouds
314,Filadelfia,US,39.9523,-75.1638,31.17,81,100,5.01,overcast clouds
315,Matamoros,MX,25.5333,-103.25,44.71,65,0,4.61,clear sky
316,Adrar,MR,20.5022,-10.0711,60.76,13,0,9.22,clear sky
317,Mayo,US,38.8876,-76.5119,35.64,79,100,8.01,overcast clouds
318,Port-Gentil,GA,-0.7193,8.7815,79.43,79,68,8.88,broken clouds
319,Abnub,EG,27.2696,31.1511,44.82,77,4,8.23,clear sky
320,Lagoa,PT,39.05,-27.9833,57.56,82,84,21.54,broken clouds
321,Shingu,JP,33.7333,135.9833,41.99,46,35,16.4,scattered clouds
322,Norman Wells,CA,65.282,-126.8329,-7.56,59,75,21.85,broken clouds
323,Tukrah,LY,32.5341,20.5791,50.95,81,3,10.56,clear sky
324,Fallon,US,39.4735,-118.7774,32.92,39,63,2.33,broken clouds
325,Riberalta,BO,-10.9833,-66.1,73.08,99,100,2.86,overcast clouds
326,Omboue,GA,-1.5746,9.2618,76.1,86,91,4.81,overcast clouds
327,Novobirilyussy,RU,56.9514,90.6661,22.03,79,100,12.46,overcast clouds
328,Eyl,SO,7.9803,49.8164,74.84,63,40,12.97,scattered clouds
329,Vigrestad,NO,58.5667,5.7,42.48,75,75,23.87,broken clouds
330,Zemes,RO,46.5833,26.4167,19.17,69,62,5.99,broken clouds
331,Acapulco,MX,16.8634,-99.8901,73.22,83,0,0.0,clear sky
332,Bardiyah,LY,31.7561,25.0865,49.19,79,5,13.58,clear sky
333,Iqaluit,CA,63.7506,-68.5145,-20.47,69,75,3.44,broken clouds
334,Kangaatsiaq,GL,68.3065,-53.4641,2.23,72,100,12.39,overcast clouds
335,La Palma,US,33.8464,-118.0467,64.42,28,0,3.44,clear sky
336,Zambezi,ZM,-13.5432,23.1047,62.64,97,89,4.0,overcast clouds
337,Bosaso,SO,11.2842,49.1816,73.38,60,0,11.5,clear sky
338,Hilo,US,19.7297,-155.09,73.8,87,40,5.75,scattered clouds
339,Aksarka,RU,66.5606,67.7975,-1.88,100,89,2.08,overcast clouds
340,Pangnirtung,CA,66.1451,-65.7125,-26.59,98,100,1.48,overcast clouds
341,Smolensk,RU,55.0,33.0,-6.38,100,100,3.76,overcast clouds
342,Pinheiro Machado,BR,-31.5783,-53.3811,69.06,99,69,3.36,broken clouds
